Product,Brewer_Value,Brand_Value,Package_Value,Segment_Value,AB_Segment_Value,AB_Subsegment_Value,AB_Megasegment_Value,Date,Display_Count,Display_Share,Distribution,Feature_Count,Feature_Share,Price_per_Unit,Price_per_Volume,Unit_Sales,Volume_Sales,Volume_Share_of_Category, Average_of_Max_TemperatureC , Average_of_Mean_TemperatureC , Average_of_Min_TemperatureC ,Average_of_Dew_PointC , Average_of_MeanDew_PointC , Average_of_Min_DewpointC , Average_of_Max_Humidity , Average_of_Mean_Humidity , Average_of_Min_Humidity , Average_of_Max_Sea_Level_PressurehPa , Average_of_Mean_Sea_Level_PressurehPa , Average_of_Min_Sea_Level_PressurehPa ,Average_of_Max_VisibilityKm , Average_of_ Mean_VisibilityKm , Average_of_Min_VisibilitykM ,Average_of_Max_Wind_SpeedKmh ,Average_of_Mean_Wind_SpeedKmh ,Average_of_Max_Gust_SpeedKmh,Average_of_Precipitationmm ,Average_of _CloudCover ,Average_of _WindDirDegrees ,State_GDP,Alcohol_Retail_Trade_employees ,State_Personal_income,Resident_Population_in_city,Per_Capita_Personal_Income_in_city,Occupancy,Labor_Force_in_city,Employment_in_city,Unemployment_in_city,Unemp_Rate_in_city,Consumer_Price_Index_MaltBeverages,Consumer_Price_Index_Wine,Producer_Price_Index_by_Industry
BRAND1 6-PACK 11.2-13 OZ GLASS,COMPETITOR97,BRAND1,6-PACK 11.2-13 OZ GLASS,ASSORTED SEGMENT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,0,,0.034091261,,,10.8925,43.57,1408,351.9812822,0.027542654,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND8 6-PACK 11.2-13 OZ GLASS,COMPETITOR135,BRAND8,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,ULTRA HIGH END,ABOVE CORE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND19 6-PACK 11.2-13 OZ GLASS,COMPETITOR135,BRAND19,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,ULTRA HIGH END,ABOVE CORE,09-01-2013,0,,0.058272682,,,14.50587045,58.02348178,435,108.6742209,0.008503795,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND19 6-PACK 12 OZ CAN,COMPETITOR135,BRAND19,6-PACK 12 OZ CAN,CRAFT/IMPORT,HE BEER,ULTRA HIGH END,ABOVE CORE,09-01-2013,0,,0.006335075,,,16.36288763,65.45155054,110,27.62165093,0.002161404,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND26 12-PACK 11.2-13 OZ GLASS,COMPETITOR135,BRAND26,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,ULTRA HIGH END,ABOVE CORE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND176 12-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND176,12-PACK 11.2-13 OZ GLASS,PREMIUM PLUS,CORE,PREMIUM PLUS,CORE & VALUE,09-01-2013,0,,0.504984796,,,12.25368076,24.50736153,2054,1026.894856,0.08035487,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,26,0.082340635,0.622032778,191,0.365411545,14.20114184,28.40228369,2884,1442.248336,0.11285642,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND140 24-PACK 11.2-13 OZ GLASS,ABI,BRAND140,24-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,0,,0.179244802,,,24.38097699,24.38097699,405,404.8737363,0.031681507,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND140 6-PACK 11.2-13 OZ GLASS,ABI,BRAND140,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,0,,0.346195868,,,9.44802814,37.79211256,1989,497.3157474,0.038915126,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND144 12-PACK 11.2-13 OZ GLASS,ABI,BRAND144,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,0,,0.490116461,,,14.23271353,28.46542705,1280,639.7736113,0.050062502,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND4 12-PACK 11.2-13 OZ GLASS,COMPETITOR3,BRAND4,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,09-01-2013,0,,0.852243366,,,13.91871906,27.83743812,4880,2439.780448,0.190913646,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND18 6-PACK 11.2-13 OZ GLASS,ABI,BRAND18,6-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE NEAR BEER,HARD SODA,ABOVE CORE,09-01-2013,0,,0,,,0,0,,0,0,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND145 12-PACK 11.2-13 OZ GLASS,ABI,BRAND145,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,IMPORT,ABOVE CORE,09-01-2013,0,,0.277602263,,,16.67873662,35.73759722,1281,597.7918147,0.046777412,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND2 12-PACK 11.2-13 OZ GLASS,COMPETITOR1,BRAND2,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,748,2.348639715,0.984413165,1184,2.260104223,14.14595355,28.2919071,18683,9341.529804,0.730977869,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
BRAND2 12-PACK 12 OZ CAN,COMPETITOR1,BRAND2,12-PACK 12 OZ CAN,CRAFT/IMPORT,HE BEER,CRAFT,ABOVE CORE,09-01-2013,0,,0.351105016,,,14.66182171,29.32364341,1816,908.1117082,0.071060049,32.71428571,27.14285714,21.14285714,18.28571429,17,14.85714286,80.42857143,60.71428571,40.42857143,1011.714286,1010.571429,1009.142857,16,15.71428571,13.71428571,13.85714286,1.714285714,24.42857143,0,0.285714286,231.7142857,2231635,14.8,1861554346,10045.175,47580,0.766,4991700,4523000,468700,0.094,1.236,9.891,
